,AAPL,AMZN,CVS,UNH,WMT,ARIMA_AAPL,RF_AAPL,ARIMA_AMZN,RF_AMZN,ARIMA_CVS,RF_CVS,ARIMA_UNH,RF_UNH,ARIMA_WMT,RF_WMT
2024-02-01,186.8600006103516,159.27999877929688,73.91999816894531,507.1400146484375,56.10333251953125,194.45724159400197,173.31299591064453,151.72183783401988,149.47257080078126,78.92945468341169,106.66819961547851,531.8407069282979,476.7791998291016,52.66423150439071,46.84563362121582
2024-02-02,185.8500061035156,171.80999755859375,73.08999633789062,510.2300109863281,56.52333450317383,194.54117990252627,172.98619644165038,151.7120317340116,150.39935165405274,78.92811432839521,107.77969955444335,532.0759924425006,478.3674035644531,52.669142161121584,46.75273326873779
2024-02-05,187.67999267578125,170.30999755859375,72.44000244140625,502.9599914550781,56.220001220703125,194.62511821105056,175.50600006103517,151.70222563400333,159.38674285888672,78.92677397337873,107.75040130615234,532.3112779567034,489.6845043945313,52.674052817852456,46.57860012054444
2024-02-06,189.3000030517578,169.14999389648438,73.76000213623047,510.6700134277344,56.60333251953125,194.7090565195749,174.78870040893554,151.69241953399504,159.20902786254882,78.92543361836223,107.92370124816894,532.5465634709061,486.6239050292969,52.67896347458333,46.24980018615722
2024-02-07,189.41000366210935,170.52999877929688,76.05000305175781,519.3900146484375,56.459999084472656,194.79299482809915,174.69249954223633,151.68261343398677,157.9113394165039,78.92409326334575,107.84900115966796,532.7818489851089,488.76570495605466,52.6838741313142,46.01286708831787
2024-02-08,188.32000732421875,169.83999633789062,75.08000183105469,520.0900268554688,56.456668853759766,194.87693313662345,172.55109817504882,151.6728073339785,157.26239242553712,78.92275290832927,108.04300094604493,533.0171344993116,487.5279019165039,52.68878478804508,45.934933471679685
2024-02-09,188.8500061035156,174.4499969482422,76.31999969482422,518.219970703125,56.426666259765625,194.96087144514772,171.9488981628418,151.66300123397022,156.99790328979492,78.92141255331279,105.04499961853028,533.2524200135144,483.24400512695314,52.69369544477595,45.89356700897217
2024-02-12,187.1499938964844,172.33999633789062,77.29000091552734,517.6400146484375,56.76666641235352,195.04480975367204,171.1698020935059,151.65319513396196,156.8551960754395,78.9200721982963,105.22890007019043,533.4877055277171,476.0133004760742,52.69860610150682,45.07306758880616
2024-02-13,185.0399932861328,168.63999938964844,76.58999633789062,516.8499755859375,56.380001068115234,195.12874806219637,173.28459976196288,151.64338903395367,156.8124658203125,78.91873184327982,104.88459991455078,533.72299104192,476.28770446777344,52.70351675823769,45.04413425445557
2024-02-14,184.1499938964844,170.97999572753906,76.41000366210938,516.9400024414062,56.20000076293945,195.21268637072063,171.61549880981443,151.6335829339454,156.82552474975586,78.91739148826333,104.075400390625,533.9582765561227,477.1973034667969,52.70842741496856,44.94080024719239
2024-02-15,183.8600006103516,169.8000030517578,76.5999984741211,520.8800048828125,56.43000030517578,195.29662467924496,171.18269912719725,151.62377683393711,155.6992478942871,78.91605113324685,103.01600143432616,534.1935620703255,476.19990112304686,52.71333807169943,45.42773281097412
2024-02-16,182.30999755859372,169.50999450683594,77.0999984741211,521.5499877929688,56.78666687011719,195.38056298776925,169.95770111083985,151.61397073392885,154.74596405029297,78.91471077823036,103.3592000579834,534.4288475845283,476.6485961914062,52.718248728430304,45.60816589355469
2024-02-20,181.55999755859372,167.0800018310547,76.30999755859375,521.0599975585938,58.619998931884766,195.54843960481784,165.7556007385254,151.5943585339123,153.41384201049806,78.9120300681974,102.84389976501464,534.8994186129338,464.2891998291016,52.728070041892046,45.66086643218994
2024-02-21,182.32000732421875,168.58999633789062,77.1500015258789,521.969970703125,57.900001525878906,195.6323779133421,164.01910369873048,151.58455243390404,149.60630752563478,78.91068971318091,102.89219902038576,535.1347041271365,462.3459027099609,52.73298069862292,45.53436645507813
2024-02-22,184.3699951171875,174.5800018310547,77.0999984741211,526.5,58.470001220703125,195.71631622186644,163.55430374145507,151.57474633389575,149.96014923095703,78.90934935816442,102.19909889221192,535.3699896413393,462.2533041381836,52.73789135535379,45.35146663665771
2024-02-23,182.5200042724609,174.99000549316406,77.19999694824219,527.239990234375,58.52000045776367,195.80025453039076,163.1534051513672,151.56494023388748,149.0424443054199,78.90800900314794,102.3421984100342,535.605275155542,466.48130310058593,52.74280201208467,45.40716632843018
2024-02-26,181.16000366210935,174.72999572753906,76.43000030517578,525.3200073242188,59.59999847412109,195.88419283891503,161.5509002685547,151.55513413387922,149.10659637451172,78.90666864813146,103.9622006225586,535.8405606697448,466.3252966308594,52.74771266881554,45.18276668548584
2024-02-27,182.6300048828125,173.5399932861328,76.2699966430664,513.4199829101562,59.59000015258789,195.96813114743932,161.28270095825195,151.54532803387093,147.04841201782227,78.90532829311498,104.1347006225586,536.0758461839475,464.7836999511719,52.75262332554641,45.317266616821286
2024-02-28,181.4199981689453,173.16000366210938,75.19000244140625,498.2799987792969,59.619998931884766,196.05206945596365,166.33129943847655,151.53552193386267,149.27669982910157,78.90398793809848,104.52780059814454,536.3111316981503,469.5128979492188,52.75753398227728,45.40666664123536
2024-02-29,180.75,176.75999450683594,74.37000274658203,493.6000061035156,58.61000061035156,196.13600776448797,168.7630010986328,151.52571583385438,147.9229451751709,78.902647583082,104.22170028686524,536.5464172123532,468.8997994995117,52.76244463900815,45.91236694335937
2024-03-01,179.66000366210938,178.22000122070312,73.83999633789062,489.5299987792969,58.7599983215332,196.21994607301224,165.439697265625,151.51590973384612,151.42114624023438,78.90130722806552,103.98840194702149,536.7817027265559,488.4250970458984,52.76735529573902,45.83586673736572
2024-03-04,175.10000610351562,177.5800018310547,73.88999938964844,481.8699951171875,59.29999923706055,196.30388438153653,167.71359954833986,151.50610363383785,153.58197540283203,78.89996687304904,104.111600189209,537.0169882407587,485.3247979736328,52.77226595246989,46.81946556091309
2024-03-05,170.1199951171875,174.1199951171875,73.70999908447266,473.1499938964844,60.040000915527344,196.38782269006083,166.81099868774413,151.49629753382956,152.8412287902832,78.89862651803254,103.95890029907228,537.2522737549614,481.624794921875,52.777176609200765,46.64059906005859
2024-03-06,169.1199951171875,173.50999450683594,74.33999633789062,472.6000061035156,60.56999969482422,196.47176099858515,165.03899948120116,151.4864914338213,149.5913607788086,78.89728616301606,104.14579971313476,537.4875592691642,484.7338012695312,52.78208726593164,46.65076629638672
2024-03-07,169.0,176.82000732421875,74.30000305175781,478.7799987792969,60.36000061035156,196.55569930710945,162.6288996887207,151.476685333813,146.4372966003418,78.89594580799958,104.208800201416,537.7228447833669,487.8374990844727,52.78699792266251,46.8164331817627
2024-03-08,170.72999572753906,175.35000610351562,75.06999969482422,476.5700073242188,60.119998931884766,196.63963761563372,160.74909912109376,151.46687923380475,143.95005172729492,78.8946054529831,104.2109009552002,537.9581302975697,488.5302954101562,52.79190857939338,47.03353290557861
2024-03-11,172.75,171.9600067138672,75.94000244140625,489.1499938964844,60.65999984741211,196.72357592415804,155.9480987548828,151.45707313379648,144.70683959960937,78.8932650979666,104.05469924926756,538.1934158117724,485.2733044433594,52.79681923612426,47.28926578521728
2024-03-12,173.22999572753906,175.38999938964844,75.20999908447266,489.3500061035156,61.40999984741211,196.80751423268237,157.03439880371093,151.4472670337882,145.81454650878905,78.89192474295012,103.91730003356932,538.4287013259752,483.0735018920898,52.80172989285513,47.43556594848633
2024-03-13,171.1300048828125,176.55999755859375,75.08000183105469,488.0,61.27999877929688,196.89145254120663,158.94789901733398,151.43746093377993,147.20918716430663,78.89058438793364,104.54209991455076,538.6639868401779,487.7533038330078,52.806640549586,47.9028999710083
2024-03-14,173.0,178.75,76.41999816894531,489.0,61.02000045776367,196.97539084973093,159.01169692993165,151.42765483377164,148.67978713989257,78.88924403291716,105.288999710083,538.8992723543807,491.523703918457,52.81155120631687,48.188233337402345
2024-03-15,172.6199951171875,174.4199981689453,77.4000015258789,490.8200073242188,60.68000030517578,197.0593291582552,158.86599639892577,151.41784873376338,151.68216247558593,78.88790367790067,106.5557007598877,539.1345578685836,496.4822024536133,52.81646186304774,48.30986667633056
2024-03-18,173.72000122070312,174.47999572753906,77.56999969482422,487.0499877929688,60.86000061035156,197.14326746677952,161.4197004699707,151.4080426337551,154.60289596557618,78.88656332288419,107.1909008026123,539.3698433827863,505.3680001831055,52.82137251977861,48.28193389892578
2024-03-19,176.0800018310547,175.89999389648438,78.05999755859375,493.3200073242188,60.869998931884766,197.22720577530384,165.38320129394532,151.39823653374685,158.2541911315918,78.8852229678677,107.04320152282716,539.6051288969891,506.43299987792966,52.826283176509484,48.30406723022461
