,WMT,AMZN,AAPL,CVS,UNH
818,52.880300400549075,151.29036943365583,198.15052716907113,78.87047906268637,542.1932695532195
819,52.885211057279946,151.28056333364754,198.23446547759542,78.86913870766989,542.4285550674222
820,52.89012171401082,151.27075723363927,198.31840378611972,78.86779835265341,542.663840581625
821,52.89503237074169,151.26095113363098,198.402342094644,78.86645799763691,542.8991260958277
822,52.89994302747256,151.25114503362272,198.4862804031683,78.86511764262043,543.1344116100305
823,52.90485368420343,151.24133893361446,198.57021871169263,78.86377728760395,543.3696971242332
824,52.9097643409343,151.23153283360617,198.65415702021693,78.86243693258747,543.604982638436
825,52.91467499766518,151.2217267335979,198.73809532874122,78.86109657757099,543.8402681526388
826,52.91958565439605,151.2119206335896,198.82203363726552,78.8597562225545,544.0755536668415
827,52.92449631112692,151.20211453358135,198.90597194578982,78.85841586753801,544.3108391810443
